#OTU ID,AB2a143A,AB2a143B,AB2a200A,AB2a200B,AB2a237A,AB2a237B,AB2a247A,AB2a247B,AB2a267A,AB2a267B,AB2a900A,AB2a900B,AB2b143A,AB2b143B,AB2b200A,AB2b200B,AB2b237A,AB2b237B,AB2b247A,AB2b247B,AB2b267A,AB2b267B,AB2b900A,AB2b900B,taxonomy
denovo219642,419,602,0,134,404,27,1301,38,79,44,87,193,1222,367,100,55,349,36,229,10,4,7,117,65,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Pseudoalteromonadaceae;  __Pseudoalteromonas;  __bacterium_2D702
denovo59611,2674,1963,0,2317,3398,842,2967,90,97,631,0,0,1031,1043,4017,4117,1147,1387,1757,1304,1,55,3,0,Bacteria;  __Verrucomicrobia;  __Arctic97B-4_marine_group;  __uncultured_marine_microorganism
denovo65050,0,4,0,3,24,4,30,162,30,20,3554,15228,0,1,2,13,10,11,26,34,2,216,1443,11641,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __SEEP-SRB1;  __uncultured_bacterium
denovo127544,418,3541,2,5361,812,1871,258,126,96,1109,0,0,15,2807,534,11413,389,3552,286,2763,10,64,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo191698,136,1015,6,4990,163,95,17,3,1,18,0,0,165,824,4259,11350,52,199,16,34,1,1,1,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SUP05_cluster;  __uncultured_marine_bacterium
denovo368859,372,6114,3,4078,925,1497,53,2,3,272,3,3,246,2815,1123,10017,154,2691,55,415,0,4,1,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SAR86_clade;  __uncultured_SAR156_cluster_gamma_proteobacterium
denovo216053,1170,3465,1,1468,1532,604,239,36,12,193,0,1,453,1365,3506,7752,296,1694,569,525,2,14,3,3,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_bacterium
denovo204242,108,0,0,25,10550,2,4017,3,427,8,0,0,136,0,7698,0,5798,9,1609,6,22,0,7,1,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo50524,3,0,0,7,965,223,1000,4707,1041,652,20,354,1,0,91,21,706,485,1444,1518,236,3378,16,259,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo236672,2,0,0,3,446,18,908,113,1339,45,1854,6836,3,0,120,35,207,30,695,160,49,126,1687,11602,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfarculales;  __Desulfarculaceae;  __uncultured;  __uncultured_bacterium
denovo243156,702,302,0,271,5693,50,16868,85,1140,226,7,14,137,281,2098,332,3633,146,6722,497,60,101,4,8,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __Phycisphaeraceae;  __JL-ETNP-F27;  __uncultured_Planctomycetales_bacterium
denovo266202,244,6730,0,4581,145,593,11,9,0,162,0,0,41,5067,382,8566,61,1142,42,277,0,9,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_marine_bacterium
denovo35025,34,2,0,1,154,0,246,200,1369,8,9531,856,4,1,19,26,138,0,151,0,168,3,4904,500,Bacteria;  __Hyd24-12;  __uncultured_bacterium
denovo232594,3161,998,2,2442,938,32,1466,97,194,94,205,378,963,386,15877,126,248,17,599,60,6,31,457,150,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Vibrionales;  __Vibrionaceae;  __Vibrio;  __uncultured_proteobacterium
denovo340353,2428,1989,0,991,4523,606,998,46,35,344,0,0,566,998,5046,2340,1206,1444,1317,591,2,32,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo317108,11,0,0,1,250,1,2610,71,3133,7,3712,359,2,0,44,0,111,3,1308,47,169,48,3155,139,Bacteria;  __Chloroflexi;  __Anaerolineae;  __Anaerolineales;  __Anaerolineaceae;  __uncultured;  __uncultured_Chloroflexi_bacterium
denovo343846,8155,354,0,270,923,12,2,0,0,0,0,0,3174,233,23439,658,412,20,3,1,5,0,6,0,Bacteria;  __Planctomycetes;  __Pla3_lineage;  __uncultured_bacterium
denovo269290,2333,5122,0,1573,1210,672,289,24,16,259,0,0,851,2345,2794,2928,311,1174,453,435,1,22,2,4,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __uncultured_bacterium
denovo386561,20,0,0,1,477,0,1869,13,7487,1,252,12,6,0,56,13,299,0,1056,0,305,3,217,0,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo448734,1289,3955,0,3599,935,623,223,202,34,218,1,3,107,1974,986,4001,377,812,157,260,4,159,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __Oceanospirillaceae;  __Pseudospirillum;  __uncultured_bacterium
denovo315068,3127,647,0,226,215,9,24,10,1,5,21,0,598,621,1894,610,93,26,19,13,2,5,9,2,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Cryomorphaceae;  __Fluviicola;  __uncultured_Flavobacterium_sp.
denovo253586,890,2394,2,569,1939,39,1879,831,2063,364,4981,6647,2086,2515,3114,7168,485,34,82,19,11,9,150,139,Bacteria;  __Proteobacteria;  __Betaproteobacteria;  __Burkholderiales;  __Burkholderiaceae;  __Ralstonia;  __Ralstonia_sp._VITAST-Mu
denovo337387,9,0,0,1,11,7,11,48,19,18,1889,13130,7,0,35,1,6,5,31,14,1,99,2954,8135,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __SEEP-SRB1;  __uncultured_delta_proteobacterium
denovo147540,15,30,1,477,3775,1887,1967,1134,173,2342,0,1,3,34,551,1037,2317,4913,4214,5830,105,1101,1,0,Bacteria;  __Actinobacteria;  __Acidimicrobiia;  __Acidimicrobiales;  __Sva0996_marine_group;  __uncultured_actinobacterium
denovo85615,1279,8,0,28,6091,1,2336,0,150,1,3,2,247,3,5535,17,2513,6,1935,2,7,0,11,2,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_bacterium
denovo18923,1060,1631,0,1158,6868,491,1451,0,0,297,0,0,110,1260,5950,3450,4622,1056,4331,444,5,0,1,0,Bacteria;  __Chloroflexi;  __SAR202_clade;  __uncultured_SAR202_cluster_bacterium
denovo44205,740,5350,1,2601,200,116,6,4,0,17,0,0,243,4331,867,3758,71,234,8,20,0,2,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Salinisphaerales;  __Salinisphaeraceae;  __ZD0417_marine_group;  __uncultured_marine_microorganism
denovo105128,1384,401,0,73,318,5,76,0,9,2,4,1,59,277,296,176,207,13,32,0,2,1,0,5,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Rhodopirellula;  __uncultured_bacterium
denovo188771,712,34,0,7,614,6,407,18,75,6,46,20,440,33,775,38,429,3,116,18,11,1,26,21,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __Winogradskyella;  __Winogradskyella_sp._PC-8
denovo293115,3810,468,1,134,3970,47,2356,2,71,131,3,0,1238,380,2741,573,2130,81,1740,142,3,0,0,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_Flavobacterium_sp.
denovo285289,9,0,1,0,616,0,12017,0,2,1,0,0,13,0,10,0,304,0,7087,2,2,0,1,3,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Myxococcales;  __Nannocystineae;  __uncultured;  __uncultured_bacterium
denovo351910,2102,1600,0,1684,948,353,171,3,3,150,1,0,519,1183,3816,5865,406,1003,86,267,1,0,1,0,Bacteria;  __Proteobacteria;  __AEGEAN-245;  __marine_metagenome
denovo448009,1263,4,0,10,8540,0,5087,0,1910,6,5,0,150,5,2310,0,4751,4,1991,1,84,0,3,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_bacterium
denovo432995,19,0,0,0,196,0,1245,2,5351,0,987,1,11,0,18,0,119,0,537,1,270,5,524,8,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo249977,15,102,1,888,1946,2627,816,1776,64,2718,0,1,2,63,140,1991,777,5225,474,6103,14,2235,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo448069,123,47,0,30,29,8,278,3,24,15,7,3,67,25,25,4,7,3,6,0,1,3,14,2,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Alteromonadaceae;  __uncultured;  __bacterium_3D708
denovo345322,928,1928,0,616,1322,327,202,34,6,129,1,10,351,819,2560,1552,296,723,440,287,1,21,4,7,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_SAR11_cluster_alpha_proteobacterium
denovo80523,655,3582,1,5371,828,527,115,56,18,187,0,0,437,2927,2425,6737,591,943,63,302,1,43,1,2,Bacteria;  __Gemmatimonadetes;  __BD2-11_terrestrial_group;  __uncultured_bacterium
denovo166324,21,0,0,0,675,0,6000,5,6444,2,517,0,4,0,46,0,504,1,2145,2,422,5,199,0,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo92377,1771,2239,0,943,1555,593,270,32,21,346,0,0,838,1055,3970,1769,282,1268,545,499,0,23,0,2,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_bacterium
denovo162656,3023,851,0,223,4943,45,713,0,0,17,0,0,622,605,13914,1500,1592,31,1208,7,2,1,0,1,Bacteria;  __Chloroflexi;  __SAR202_clade;  __uncultured_bacterium
denovo226190,134,2574,1,1539,108,88,18,0,0,13,0,1,52,1899,579,4127,85,206,7,31,0,0,1,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __NS4_marine_group;  __uncultured_Bacteroidetes_bacterium
denovo482849,713,2175,0,3513,461,170,34,0,0,28,0,0,140,1523,3067,6404,225,444,59,76,0,1,0,0,Bacteria;  __Actinobacteria;  __Acidimicrobiia;  __Acidimicrobiales;  __Sva0996_marine_group;  __uncultured_bacterium
denovo412051,2569,718,1,215,1085,17,159,0,23,5,2,0,632,645,2784,508,634,7,84,6,1,0,1,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Cryomorphaceae;  __NS7_marine_group;  __uncultured_Flavobacterium_sp.
denovo451747,4040,828,0,228,2678,64,424,7,30,5,10,0,1091,660,5477,687,1583,147,135,9,2,3,11,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __uncultured;  __uncultured_bacterium
denovo237194,2541,430,2,226,249,8,1708,180,326,70,1293,6735,2241,304,4815,8769,44,2,1,1,2,0,86,7,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Sphingomonadales;  __Sphingomonadaceae;  __Novosphingobium;  __Sphingomonas;  __Sphingomonas_sp._YNB55
denovo374172,227,84,0,41,154,4,47,20,31,13,128,53,21,85,54,59,89,27,20,8,4,16,57,37,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __Polaribacter;  __Polaribacter_sp._PG-5
denovo343001,1401,86,1,64,402,8,55,0,19,1,2,1,414,51,3359,151,327,13,33,1,0,0,4,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Planctomyces;  __uncultured_planctomycete
denovo158368,3728,1243,0,495,324,44,52,1,6,8,0,0,468,979,1694,1154,148,82,41,12,1,3,4,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __OCS116_clade;  __uncultured_bacterium
denovo130803,8,0,0,0,0,0,6,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Colwelliaceae;  __Thalassomonas;  __uncultured_bacterium
denovo166205,317,67,0,17,55,4,109,1,26,6,81,4,558,59,785,34,65,4,22,6,7,1,46,14,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Rhodopirellula;  __uncultured_marine_bacterium
denovo41217,1444,408,0,279,2132,56,208,0,17,15,4,1,328,361,3562,904,773,72,213,13,1,1,4,1,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_bacterium
denovo383220,26,0,0,1,67,0,560,7,3284,0,1565,15,4,1,19,0,30,0,221,0,145,3,1112,7,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo158333,6,0,0,0,312,0,1602,5,3019,0,194,3,2,0,18,0,181,1,628,0,132,2,147,5,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo370279,101,0,0,0,73,0,141,0,102,0,9811,4,32,0,180,0,68,0,25,0,15,0,4189,2,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_bacterium
denovo31579,39,19,0,1,8,0,1,0,0,0,2,0,25101,18,126,19,3,1,4,2,0,1,6,0,Bacteria;  __Proteobacteria;  __Betaproteobacteria;  __Burkholderiales;  __Oxalobacteraceae;  __Massilia;  __Massilia_sp._LC295
denovo206545,493,387,0,107,602,18,1177,9,14,31,57,173,303,195,1249,75,227,45,317,17,3,10,52,60,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Pseudoalteromonadaceae;  __Pseudoalteromonas;  __uncultured_bacterium
denovo339238,109,141,0,549,2982,323,829,12,29,259,0,0,70,80,2999,933,467,636,1343,423,5,2,1,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Methylococcales;  __Hyd24-01;  __uncultured_bacterium
denovo252731,319,1367,0,1104,3169,1456,599,58,135,781,0,0,58,1171,468,2026,1401,2716,631,1499,15,31,3,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_marine_bacterium
denovo482279,1094,1665,1,1137,458,141,8,0,3,8,0,0,184,1209,1543,2294,274,394,14,12,0,0,0,3,Bacteria;  __Actinobacteria;  __Acidimicrobiia;  __Acidimicrobiales;  __Sva0996_marine_group;  __marine_metagenome
denovo296353,11,3,0,1,134,7,1606,272,2833,19,2063,328,5,0,20,0,165,6,684,57,133,113,2653,615,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Pirellula;  __uncultured_planctomycete
denovo156783,7,0,0,0,31,0,134,0,534,0,5515,0,1,0,16,0,16,0,41,0,30,0,3677,0,Bacteria;  __Spirochaetes;  __MSBL8;  __uncultured_Spirochaetes_bacterium
denovo129797,6,0,0,7,6,1,2,0,2,2,2310,4084,0,0,3,5,1,0,1,6,1,5,1589,3352,No blast hit
denovo268502,101,2221,0,2023,189,559,52,13,2,271,0,0,26,1607,159,4707,64,1142,47,566,0,1,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo21613,53,1,1,0,3220,0,6912,0,1958,0,6,1,5,0,186,0,1852,2,3094,3,89,0,2,3,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Xanthomonadales;  __Sinobacteraceae;  __JTB255_marine_benthic_group;  __uncultured_bacterium
denovo293082,53,0,0,5,3988,0,9451,2,975,6,1,0,6,5,97,0,2266,0,4660,7,43,0,3,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_delta_proteobacterium
denovo190109,1795,945,0,390,1041,320,185,15,3,220,0,0,863,405,2509,736,248,798,332,396,1,8,1,1,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_marine_microorganism
denovo417784,160,1571,0,241,15,9,2,1,1,1,0,1,51,1209,140,810,10,25,0,1,0,0,1,2,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo351169,588,1400,0,773,773,399,181,21,18,219,0,0,179,723,1342,1451,183,813,239,322,1,16,3,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_marine_microorganism
denovo275598,120,238,0,147,84,4,26,6,10,5,48,87,36,176,216,284,92,23,41,10,1,9,62,84,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodobacterales;  __Rhodobacteraceae;  __Roseobacter_clade_OCT_lineage;  __uncultured_bacterium
denovo434094,5,1,0,0,1,1,14,13,8,9,1841,4470,0,2,1,3,4,7,2,4,3,10,1004,2653,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo152133,2,18,0,204,504,771,411,1944,203,810,4,5,2,18,204,416,176,1560,306,2814,46,2254,1,6,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __ZD0405;  __uncultured_bacterium
denovo274902,75,0,0,7,3835,5,2181,5,1273,6,24,6,30,0,1541,3,2983,24,891,14,71,0,11,4,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Rhodopirellula;  __uncultured_bacterium
denovo89036,0,2,0,29,27,449,80,1404,8,1584,0,0,0,2,1,6,14,950,6,4429,19,3253,0,3,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Ectothiorhodospiraceae;  __Thiorhodospira;  __uncultured_bacterium
denovo92652,331,1555,0,1392,183,176,134,5,1,21,0,0,58,1206,752,2736,78,283,130,39,1,5,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Nitrospinaceae;  __Nitrospina;  __uncultured_delta_proteobacterium
denovo32136,1426,137,0,150,2074,128,222,20,3,106,5,4,152,88,2851,211,1338,338,258,66,2,4,3,3,Bacteria;  __Actinobacteria;  __Acidimicrobiia;  __Acidimicrobiales;  __OCS155_marine_group;  __uncultured_marine_microorganism
denovo247718,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,Bacteria;  __Verrucomicrobia;  __Verrucomicrobiae;  __Verrucomicrobiales;  __Verrucomicrobiaceae;  __Roseibacillus;  __uncultured_Verrucomicrobia_bacterium
denovo374552,1917,891,0,362,1250,109,256,7,4,38,2,0,802,446,4462,823,328,235,411,65,2,2,1,1,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_2;  __uncultured_SAR11_cluster_alpha_proteobacterium
denovo79522,63,2568,1,2430,65,96,6,3,3,20,0,0,33,1880,255,4372,29,224,12,42,0,1,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_marine_bacterium
